Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Yellow2_X,Yellow2_Y,Pink2_X
58.9602,0.0012,0.0055,1.4759,0.1658,0.0264,0.0091,0.0722,0.1728,0.0512,0.0516,0.8833,0.1121,0.0312,0.029,29.1692,0.0636,0.1594,0.1085,0.0057,0.0069,4.57
59.0601,0.0022,0.002,1.5041,0.1862,0.0221,0.0086,0.0621,0.1531,0.0367,0.0661,0.8938,0.1009,0.0297,0.03,36.1813,0.0652,0.1614,0.1182,0.0071,0.0086,2.7654
59.1601,0.0036,0.0015,1.5002,0.1868,0.021,0.0082,0.0422,0.1323,0.018,0.0763,0.9144,0.0908,0.0281,0.0331,33.3599,0.0679,0.1674,0.1285,0.0077,0.01,1.7307
59.26,0.0049,0.0046,1.4638,0.1135,0.0237,0.0079,0.0241,0.1239,0.0172,0.0807,0.4175,0.0855,0.0277,0.0345,21.2726,0.0712,0.1763,0.1387,0.0071,0.0098,2.2579
59.3599,0.0059,0.007,1.396,0.1072,0.028,0.0076,0.0388,0.1347,0.0324,0.0815,0.4771,0.0853,0.0289,0.0327,5.0665,0.0744,0.1854,0.1481,0.0057,0.0078,3.5634
59.4599,0.0064,0.0087,1.2995,0.0978,0.0317,0.0074,0.0668,0.1562,0.0416,0.0829,1.1416,0.087,0.0308,0.0283,20.1108,0.0768,0.1917,0.1562,0.0048,0.0047,4.9276
59.5598,0.0064,0.0095,1.1787,0.2108,0.0334,0.0072,0.0892,0.1754,0.0408,0.0877,1.5361,0.0867,0.0322,0.0232,38.4987,0.0779,0.1932,0.1631,0.0057,0.003,6.1205
59.6597,0.006,0.0095,1.0403,0.2337,0.0327,0.0071,0.0998,0.1843,0.0309,0.094,1.4162,0.0821,0.0319,0.0192,50.0562,0.0775,0.1891,0.1693,0.0071,0.0048,7.0228
59.7596,0.005,0.0086,0.8946,0.2212,0.0297,0.007,0.0964,0.1804,0.0163,0.0983,1.0963,0.0729,0.0296,0.0166,51.8691,0.0761,0.1803,0.175,0.008,0.0065,7.5898
59.8596,0.0038,0.0071,0.7575,0.2286,0.025,0.0069,0.0802,0.1668,0.0103,0.099,0.4947,0.0606,0.0259,0.0141,43.5653,0.0741,0.1694,0.1798,0.0078,0.0069,7.8605
59.9595,0.0024,0.0057,0.6536,0.0882,0.0202,0.0068,0.0572,0.1511,0.0192,0.0973,0.5155,0.0488,0.022,0.0113,27.9905,0.0724,0.1602,0.1832,0.0071,0.0062,7.942
