Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Orange_X,Yellow_X,Yellow_Y,Pink_X,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Pink2_X,Pink2_Y
54.9629,0.8892,0.5401,0.3842,2.7157,0.253,0.3348,5.2497,0.272,0.6789,0.2015,2.1856,0.4353,0.1043,0.5066,0.0809,0.0921,1.0467,1.425,0.7432,0.2789,1.0365
55.0628,1.0633,0.8733,0.2463,2.6225,0.581,0.4074,2.0113,0.2816,0.9937,1.7005,2.1875,0.668,1.049,0.4205,0.0941,0.1077,1.0337,1.4926,0.5141,0.2722,1.035
55.1628,1.2077,0.8688,0.1425,2.698,0.2562,0.5772,4.3913,0.2462,0.9026,1.6754,1.7616,0.1666,1.0026,0.3874,0.2568,0.0749,0.4537,1.4321,0.0279,0.337,1.1827
55.2627,1.0911,0.7185,0.3127,2.8114,0.3217,0.4625,2.9368,0.2687,1.0086,1.5009,1.9628,0.6619,3.058,0.3885,0.3245,0.04,0.5826,1.3306,0.3034,0.3545,1.1108
55.3626,0.9948,0.7012,0.2033,2.3288,0.5804,0.7402,3.8816,0.2593,0.7965,0.8422,0.9212,1.1493,4.549,0.3241,0.2799,0.0393,0.7302,1.3289,0.3125,0.199,0.6681
55.4626,1.3223,0.818,0.1436,2.5053,0.4968,0.3284,4.2462,0.2855,0.0341,0.876,1.338,0.9918,4.121,0.1436,0.1875,0.0691,1.3412,1.6441,0.3738,0.1794,0.787
55.5625,1.5196,1.0491,0.1666,2.9836,0.36,0.5353,2.2737,0.2659,0.9415,0.849,1.7862,0.3086,2.6311,0.3293,0.0316,0.1248,1.3036,1.5366,0.609,0.2537,0.9559
55.6624,1.311,1.0525,0.1034,2.6043,0.2922,0.9734,4.6208,0.2583,0.9753,1.3579,2.2625,0.4598,2.0814,0.4846,0.1943,0.1435,0.4662,0.8763,0.7757,0.2555,0.8915
55.7624,0.8856,0.6128,0.4235,2.3186,0.5323,0.8113,1.5239,0.2621,1.0088,0.7028,3.0982,0.7533,1.6446,0.4196,0.3515,0.1153,0.2701,0.923,0.494,0.2928,1.0114
55.8623,0.6372,0.4207,0.4271,2.6613,0.5935,0.5082,4.9861,0.2633,0.8066,0.9689,3.2666,0.5275,1.0444,0.196,0.3572,0.0824,0.9414,1.5659,0.3811,0.2516,0.842
55.9622,1.0703,0.9225,0.0971,2.7208,0.1576,0.5044,1.3127,0.2869,0.8479,0.4562,4.4793,0.4851,2.0457,0.5468,0.2772,0.0659,1.3919,1.5987,0.2288,0.0948,0.4126
56.0621,1.6628,1.1531,0.4069,2.2912,0.365,0.1325,4.4611,0.2575,0.311,0.6261,4.0081,0.6629,2.407,0.8184,0.1527,0.0966,1.1882,1.1732,0.4565,0.1622,0.6582
56.1621,1.9191,1.258,0.4691,2.0572,0.4436,0.7081,2.5877,0.2703,0.6969,0.7426,3.1342,0.3893,2.0887,0.8813,0.0509,0.1472,0.9661,1.2895,0.4085,0.226,0.7277
56.262,1.79,1.3714,0.1493,2.4216,0.1081,0.6528,3.762,0.2472,0.8339,1.4204,3.8427,0.4472,2.5488,0.4486,0.2636,0.1358,0.8091,1.5072,0.2593,0.2578,0.6494
56.3619,1.6613,1.2781,0.341,2.5203,0.5206,0.0336,3.5288,0.2789,1.3954,1.0664,2.8484,1.0325,3.1624,0.3563,0.3611,0.1005,0.7242,1.6899,0.6476,0.2537,0.6999
56.4619,1.7818,1.1294,0.3843,2.083,0.8091,0.5388,2.5449,0.2722,0.956,1.2918,1.8858,1.0747,2.8961,0.4442,0.3356,0.0751,0.7687,1.6897,0.8103,0.1306,0.3973
56.5618,1.8507,1.3572,0.0855,2.0648,0.5975,0.3427,4.3487,0.2712,1.0606,0.5615,1.4313,0.4,1.8037,0.61,0.2549,0.0487,0.8816,1.4784,0.4351,0.0368,0.2694
56.6617,1.7573,1.5128,0.342,1.9339,0.2769,0.4001,1.338,0.2606,0.2376,0.2392,0.4424,0.4812,0.5228,0.4923,0.1013,0.0796,1.3118,1.6372,0.319,0.1793,0.5346
56.7617,1.6376,1.2389,0.3711,1.755,0.4911,0.764,4.3777,0.2508,0.9019,0.3606,0.2178,0.6925,0.3149,0.0541,0.1174,0.1621,1.046,1.4551,0.6175,0.2374,0.4511
56.8616,1.4509,0.9169,0.1997,2.5939,0.721,0.528,0.5625,0.28,0.8077,1.5453,1.0642,0.1624,0.4542,0.2776,0.2786,0.1627,0.3582,1.0797,0.7778,0.3074,0.4936
56.9615,1.1951,0.8886,0.2998,2.527,0.8001,0.2413,4.3848,0.2684,1.4604,1.1289,1.6565,0.6091,1.7974,0.2902,0.3175,0.1016,0.3807,1.6431,0.3315,0.2652,0.4869
57.0615,0.953,0.73,0.2294,1.055,0.5349,0.0649,2.0802,0.2822,0.4675,1.1783,1.2626,0.9458,3.1375,0.0513,0.287,0.0549,0.9305,2.3657,0.3515,0.102,0.2919
57.1614,0.6472,0.4495,0.2574,2.0802,0.1097,0.5577,3.3736,0.2432,1.0983,0.6465,2.4998,0.8064,3.3612,0.1344,0.2024,0.0244,1.2078,2.1986,0.2318,0.1683,0.7062
57.2613,0.8435,0.4943,0.3427,2.7379,0.6083,0.6069,2.6926,0.265,0.375,0.5309,2.136,0.3658,2.6079,0.4678,0.0736,0.0813,0.9218,1.7635,0.271,0.2627,0.8256
57.3613,1.4039,0.902,0.0676,1.5665,0.8558,0.1383,2.7267,0.2674,0.066,1.1405,1.0195,0.4068,2.2661,0.4792,0.1755,0.1572,0.8432,1.6478,0.2674,0.3253,0.7345
57.4612,1.6279,1.2755,0.3632,1.7572,0.6222,0.5761,3.8342,0.2859,0.8573,1.3001,1.721,0.6156,2.0753,0.0868,0.2383,0.1499,0.749,1.8863,0.5592,0.4104,0.8547
57.5611,1.5463,1.1814,0.5033,2.371,0.0781,0.5239,1.0733,0.2702,0.6614,0.5907,1.0929,0.2041,0.8479,0.5306,0.2301,0.0774,0.765,2.3272,0.5285,0.3401,0.732
57.6611,1.4358,0.7922,0.2017,1.1089,0.5486,0.158,3.6537,0.2448,0.7894,0.6579,0.5511,0.541,1.0095,0.799,0.2201,0.0224,0.7561,2.0811,0.1372,0.2205,0.7754
57.761,1.4079,1.0702,0.3681,1.7976,0.5441,0.5187,0.2431,0.263,0.8058,0.477,0.9679,0.8304,2.3681,0.857,0.1694,0.0471,0.9958,1.997,0.2283,0.2808,1.1172
57.8609,1.5401,1.3663,0.5607,2.6143,0.3081,0.1376,3.9833,0.2707,0.3706,0.4657,1.5096,0.5846,2.9927,0.6424,0.1595,0.1186,1.4013,2.0881,0.6025,0.3137,1.051
57.9609,1.5812,1.1524,0.3001,1.2206,0.9798,0.5089,1.4355,0.2959,0.3408,0.7698,1.2589,0.7484,3.6764,0.3234,0.1943,0.1752,0.9208,1.8181,0.6639,0.3691,0.9571
58.0608,1.2217,0.7571,0.1375,1.3048,1.069,0.7365,3.0008,0.2529,0.9606,0.9907,2.1796,0.9393,4.2141,0.6885,0.1538,0.1572,0.2917,1.8437,0.3387,0.4457,1.0394
58.1607,0.6266,0.51,0.3145,2.4598,0.4329,0.5586,1.9523,0.2537,0.4947,1.3458,2.9095,0.738,3.6312,0.715,0.138,0.0817,0.4434,2.3244,0.7103,0.3662,0.8679
58.2607,0.2465,0.3302,0.1587,1.3247,0.5601,0.8619,2.6126,0.2522,1.0111,1.2628,1.7858,0.1881,1.9859,0.4299,0.1763,0.0138,1.1413,2.3178,0.2623,0.2818,0.9785
58.3606,0.3646,0.2621,0.2499,0.9717,0.9229,0.7041,3.0339,0.292,1.2557,0.5821,0.8687,0.4532,0.4995,0.3004,0.2037,0.0442,1.4319,1.5968,0.2912,0.3206,1.2493
58.4605,0.6611,0.2755,0.318,2.1997,0.559,0.1222,1.3764,0.2839,0.2329,0.4917,1.807,0.5671,0.8571,0.0442,0.2294,0.1069,1.0455,1.132,0.2983,0.3284,1.1299
58.5605,0.7687,0.4993,0.2196,1.3586,0.4288,0.8107,2.9885,0.2533,0.3938,0.8851,2.256,0.2821,1.9156,0.4241,0.1781,0.1567,0.7845,1.3385,0.9635,0.3894,1.0877
58.6604,0.5798,0.599,0.2507,0.6902,1.0397,0.7596,0.6475,0.2457,0.3469,1.0424,2.074,0.8651,3.6926,0.2205,0.0512,0.1445,0.64,2.0361,0.8688,0.4461,1.1028
