Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X,Pink2_Y
7.9946,0.5422,0.7173,1.3516,0.6397,1.3736,1.5277,2.9021,2.9021,3.5923,3.7584,0.7665,2.2664,1.8459,1.214,3.0877
8.0945,0.2638,1.578,1.2958,2.1789,1.9641,2.2469,2.2662,2.2662,3.9523,3.0846,1.6747,0.1477,1.9874,1.1217,3.182
8.1945,0.8259,1.0385,1.2105,2.8762,1.9319,2.4296,1.3214,1.3214,2.5224,3.0735,1.7144,0.5241,1.143,1.0212,3.7314
8.2944,0.9012,1.3264,1.388,2.9317,0.8142,1.701,0.3961,0.3961,0.952,1.6099,0.8398,2.6727,0.8402,1.3957,4.4061
8.3943,1.0647,3.313,1.4938,2.6121,0.1828,0.5987,1.3695,1.3695,2.4099,0.8604,0.3382,2.8479,2.0321,1.387,4.3199
8.4943,0.5609,2.9075,1.2418,1.6649,0.8156,1.3068,2.0217,2.0217,4.2133,2.0141,0.8664,2.1405,1.2091,0.9633,3.4278
8.5942,0.1356,1.0861,0.8927,0.5298,1.1492,1.7021,2.505,2.505,3.9135,3.5331,0.4747,1.9964,1.33,0.9244,2.4657
8.6941,0.9773,2.4055,0.8664,1.2371,1.958,2.2486,2.0374,2.0374,3.3134,2.6665,0.5569,0.5305,1.7217,0.9456,2.1274
8.7941,0.1003,2.1544,0.7972,2.359,2.145,1.9992,1.1997,1.1997,2.9614,2.7364,1.3621,0.8774,1.5053,0.5662,2.0064
8.894,0.7396,2.2377,0.3012,2.861,1.4215,1.6885,0.4763,0.4763,2.9772,1.2228,1.3969,1.9091,0.4288,0.2085,1.8776
8.9939,0.4169,3.5639,0.4336,3.0205,0.7529,1.0539,1.3909,1.3909,4.1319,0.702,0.6287,2.5436,1.4889,0.3518,1.9614
9.0939,0.495,2.5346,0.9836,2.5469,0.5715,0.5258,1.7773,1.7773,5.8834,1.7285,0.5186,2.2556,0.8015,0.5971,1.7452
