Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y
,,,6.4514,4.4173,,,3.8025,4.0399
,,,8.5605,5.9149,,,3.7217,3.9625
,,,4.6202,4.063,,,3.7753,3.8162
,,,0.6762,0.3942,,,3.4782,3.6296
,,,4.4776,3.4859,,,3.5906,3.9503
,,,5.7247,4.0496,,,3.5857,4.0109
,,,8.4321,5.4054,,,3.8041,3.8298
,,,7.8965,6.578,,,3.8435,3.6694
,,,2.7574,2.1,,,3.63,3.7817
,,,3.1791,2.3127,,,3.7499,4.1045
,,,5.4165,4.2113,,,3.6277,3.9707
,,,7.0576,4.4506,,,3.8202,4.0854
,,,9.4478,7.0903,,,3.9076,3.8114
,,,5.9395,5.0077,,,3.9688,3.8197
,,,1.844,0.4855,,,3.7889,4.0475
,,,5.1685,3.9522,,,3.7913,4.0608
,,,6.2004,4.3204,,,4.0465,4.096
,,,9.1409,6.4916,,,3.8163,3.8006
,,,8.5865,6.832,,,3.9974,3.9723
,,,4.3548,3.0006,,,3.7687,3.9168
,,,3.6899,2.7646,,,3.7215,3.9586
,,,5.8545,4.3373,,,3.7992,3.9324
,,,8.0969,5.5749,,,3.653,3.7493
,,,9.5794,7.2241,,,3.899,3.9022
,,,7.8589,5.9772,,,3.7816,3.8883
,,,2.4598,1.4994,,,3.8131,4.0635
,,,5.0303,3.7896,,,3.5837,3.9044
,,,7.8198,5.5763,,,3.6942,3.7041
,,,9.21,6.956,,,3.8246,3.6943
,,,9.7782,7.0995,,,3.4583,3.8335
,,,4.9529,3.7064,,,4.1692,4.5961
,,,3.9327,3.1786,,,4.3494,5.1432
,,,7.0145,4.4476,,,4.1751,4.7899
,,,8.0434,5.6185,,,3.9938,4.0957
,,,10.1353,7.6697,,,3.4388,3.6823
,,,8.8157,6.6201,,,3.7553,3.8887
,,,2.8927,2.3308,,,3.949,4.0548
,,,5.8275,4.0907,,,3.7246,4.1113
,,,7.9928,6.0952,,,3.7499,3.8263
,,,9.0569,6.6157,,,3.6557,3.8644
,,,10.4704,7.3865,,,3.6197,4.0513
,,,6.0838,4.9518,,,3.899,3.8253
,,,3.7344,2.3026,,,3.6673,3.9537
,,,7.5121,5.5676,,,3.5542,3.7456
,,,8.2849,6.1566,,,3.8103,3.8101
,,,10.4854,7.2769,,,3.526,3.8105
,,,8.8559,7.1775,,,4.0563,3.9549
,,,4.7407,3.3608,,,3.8607,3.9585
,,,6.0768,4.3373,,,3.5946,3.7506
,,,8.2044,6.2005,,,3.8659,3.9491
,,,9.7776,6.7974,,,3.3238,3.7587
,,,10.0492,7.6409,,,3.8299,3.9498
,,,7.741,5.7281,,,3.6208,3.7588
,,,4.1264,3.1574,,,3.6514,3.6495
,,,7.4903,5.3173,,,3.6711,3.8378
,,,9.3583,7.0532,,,3.1531,3.6162
,,,10.0335,7.2628,,,3.9804,3.77
,,,9.7132,7.0584,,,3.5608,3.8381
,,,6.0314,4.4854,,,3.7038,3.9336
,,,5.0797,3.7251,,,3.9437,3.726
,,,9.2088,6.5015,,,3.3679,3.7506
,,,9.6584,7.5788,,,3.8542,3.9593
,,,10.2347,6.9717,,,3.4977,3.7896
,,,8.7883,6.5255,,,3.5832,3.8573
,,,4.1448,3.3987,,,3.8403,3.4467
,,,7.4288,5.1876,,,3.4136,3.6116
,,,9.7081,7.8002,,,3.4889,3.8729
,,,9.6284,6.7683,,,3.5896,3.4961
,,,10.5306,7.3637,,,3.5365,3.6067
,,,6.2608,5.3699,,,3.4971,3.4513
,,,5.1788,3.4115,,,3.5132,3.4911
,,,9.5268,7.4388,,,3.3061,3.3875
,,,9.3648,6.9188,,,3.5593,3.5459
,,,10.4965,7.4218,,,3.3991,3.7461
,,,9.1243,6.9198,,,3.1431,3.4185
,,,4.8733,3.7588,,,3.4558,3.3798
,,,7.743,5.7037,,,3.1431,3.1857
,,,9.5194,7.3664,,,3.2191,3.3378
,,,9.9814,7.1226,,,3.0698,3.3154
,,,10.0714,7.101,,,3.2391,3.4376
,,,7.1406,5.831,,,3.5435,3.4224
,,,5.8132,4.1691,,,3.2882,3.4055
,,,8.7441,6.6254,,,3.5181,3.7265
,,,9.7632,7.4807,,,3.3348,3.4771
,,,10.2221,6.9787,,,3.4626,3.3191
,,,9.0705,6.6959,,,3.3474,3.3785
,,,6.2759,4.9059,,,2.9915,3.3708
,,,6.7769,4.9019,,,3.3868,3.3185
,,,9.6782,7.4238,,,3.1154,3.2632
,,,10.1964,7.2997,,,3.0239,3.1508
,,,9.2957,6.5897,,,3.0647,3.1417
,,,8.4478,6.3932,,,2.8659,3.3174
,,,5.2154,4.061,,,3.3778,3.205
,,,8.1907,6.127,,,3.1945,3.1986
,,,10.4369,8.0535,,,2.9813,3.2409
,,,9.2475,6.5752,,,3.3154,3.1627
,,,9.6863,6.8578,,,2.9066,3.2351
,,,6.6127,5.5155,,,2.997,3.2802
,,,5.9538,4.2585,,,3.118,3.2241
,,,10.0503,7.6684,,,2.8478,2.9413
,,,9.3964,7.1533,,,2.9537,2.8833
,,,9.4624,6.3499,,,2.5967,2.937
,,,8.6466,6.7937,,,2.7253,2.9945
,,,4.996,4.0553,,,2.6945,2.8879
,,,8.3863,6.1704,,,2.5731,2.7463
,,,9.9281,7.8197,,,3.0327,2.7495
,,,9.1241,6.1287,,,2.6527,2.7351
,,,9.4977,6.7637,,,2.7188,3.0168
,,,6.7918,5.7208,,,2.974,3.0543
,,,6.1709,4.1135,,,2.9036,2.9169
,,,9.4573,7.5893,,,3.1452,2.7981
,,,9.411,6.9762,,,2.897,2.925
,,,9.3328,6.4724,,,2.7371,3.1453
,,,8.3688,6.5786,,,2.7633,2.9254
,,,5.9208,4.3821,,,2.6944,2.748
,,,7.5401,5.8964,,,2.7809,2.8154
,,,9.5132,7.1745,,,2.6748,2.7965
,,,9.238,6.6002,,,2.5883,2.7793
,,,8.7704,6.1559,,,2.5243,2.7064
,,,7.7738,5.9238,,,2.5198,2.618
,,,5.6254,4.239,,,2.5332,2.5717
,,,8.4906,6.5318,,,2.5668,2.5722
,,,9.7604,7.5925,,,2.6327,2.7589
,,,8.4687,5.7737,,,2.6459,2.6228
,,,8.7241,6.3775,,,2.6448,2.6863
,,,6.288,5.2703,,,2.6494,2.6484
,,,6.3641,4.3786,,,2.8745,2.8402
,,,9.3914,7.7526,,,2.6902,2.9563
,,,8.6947,6.163,,,2.773,2.6442
,,,8.3704,5.9329,,,2.6863,2.6638
,,,7.9842,6.7204,,,2.2918,2.605
,,,5.0331,3.6063,,,2.7178,2.8146
,,,8.0593,6.4259,,,2.4115,2.6036
,,,9.2819,7.0084,,,2.4183,2.4772
,,,8.1249,5.4704,,,2.6237,2.3746
,,,8.7629,6.684,,,2.3261,2.5073
,,,6.2397,4.6881,,,2.5437,2.5712
,,,5.6774,4.4442,,,2.4174,2.4085
,,,8.9982,6.7025,,,2.319,2.6373
,,,8.206,5.9873,,,2.4145,2.2826
,,,8.3724,5.9153,,,2.3478,2.3429
,,,7.7627,5.9987,,,2.2908,2.4902
,,,5.1602,4.0253,,,2.6064,2.5531
,,,7.3037,5.4037,,,2.609,2.5588
,,,8.6161,6.8218,,,2.429,2.3756
,,,8.091,5.5458,,,2.4555,2.3171
,,,8.093,6.0228,,,2.1462,2.4596
,,,6.732,5.2377,,,2.2815,2.4479
,,,5.2226,3.9123,,,2.4969,2.3207
,,,8.0184,6.2087,,,2.3284,2.5223
,,,8.3929,6.0297,,,2.3776,2.427
,,,7.9301,5.4926,,,2.1346,2.3511
,,,7.6262,6.1102,,,2.1016,2.2887
,,,5.5723,4.1847,,,2.4005,2.3729
,,,6.0485,4.6021,,,2.3231,2.2711
,,,8.3271,6.2921,,,2.3694,2.3505
,,,7.9898,5.4885,,,2.189,2.2509
,,,7.646,5.7729,,,2.2432,2.2129
,,,7.132,5.5424,,,2.3322,2.266
,,,4.612,3.7271,,,2.1574,2.3552
,,,7.2236,5.3763,,,2.2998,2.4394
,,,8.2332,6.1252,,,2.3365,2.3648
,,,7.2186,4.9679,,,2.3238,2.4664
,,,7.6877,5.9887,,,2.3234,2.1734
,,,5.5107,4.3594,,,2.2563,2.2663
,,,5.1128,4.0309,,,2.1959,2.3372
,,,8.0102,5.9814,,,2.2917,2.3847
,,,7.2667,5.0354,,,2.2359,2.271
,,,7.4367,5.3771,,,2.2833,2.0434
,,,6.8608,5.4655,,,2.162,2.2633
,,,4.4156,3.3203,,,1.9394,2.3234
,,,6.3074,4.7454,,,2.2078,2.2917
,,,7.5781,5.3696,,,1.9851,1.9329
,,,7.0689,4.9938,,,2.0871,1.9662
,,,7.3854,5.6907,,,2.0164,2.1842
,,,5.5794,4.2888,,,1.9288,2.1237
,,,4.5662,3.7613,,,2.3534,2.1419
,,,7.0876,5.0793,,,2.1015,2.0982
,,,7.1459,5.2264,,,2.2757,2.1338
,,,7.2472,5.2668,,,2.1154,2.2304
,,,6.5691,5.1806,,,2.1217,2.1846
,,,4.5918,3.6636,,,2.4516,2.3257
,,,5.2477,3.9064,,,1.9025,2.1189
,,,7.0619,5.1823,,,2.3862,1.9883
,,,6.9191,4.9394,,,2.1803,2.1073
,,,6.8777,5.2086,,,1.9597,2.2676
,,,5.8459,4.8917,,,2.4313,2.3749
,,,4.038,3.0083,,,1.8887,1.939
,,,5.9682,4.4187,,,2.1403,2.0209
,,,7.1976,4.8984,,,1.9553,1.8498
,,,6.5148,4.91,,,1.9029,2.1792
,,,6.5817,5.0497,,,2.064,2.1137
,,,4.4668,3.6141,,,1.8858,1.6343
,,,4.2231,3.1964,,,1.8546,1.9674
,,,6.7342,4.6226,,,1.6362,1.7786
,,,6.5516,4.8564,,,2.0229,2.0768
,,,6.5707,4.7767,,,1.7845,1.9088
,,,5.9937,4.8288,,,2.0584,1.869
,,,3.4775,2.9106,,,2.0337,2.0434
,,,5.3077,3.8381,,,1.899,1.9086
,,,6.6798,5.0467,,,2.344,2.3066
,,,6.2788,4.2522,,,1.8044,1.9211
,,,6.3996,5.248,,,2.367,1.9282
,,,4.4876,3.4499,,,2.0493,1.7728
,,,3.4649,2.7347,,,1.9158,2.0077
,,,5.8647,4.2497,,,2.118,2.2568
,,,6.4838,4.2391,,,1.6344,1.8659
,,,6.0213,5.2892,,,2.163,1.9694
,,,5.9437,3.8225,,,1.7982,1.63
,,,3.2858,3.1198,,,1.9614,2.0339
,,,4.5958,2.7458,,,1.8706,2.1637
,,,5.8937,4.2734,,,1.7508,1.9948
