Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
47.368,0.0183,0.0127,0.102,0.0788,0.1007,0.232,0.041,0.0632,0.1091,0.0287,0.2437,0.0561,2.9412,0.6223,0.0132,0.1003,0.173,0.2801,0.2475,388.477,0.094,0.0913,0.2113,0.2036,0.1999,0.5456
47.468,0.0152,0.0134,0.0993,0.0784,0.0888,0.2247,0.0423,0.0826,0.1145,0.0312,0.2443,0.1699,3.316,0.7501,0.0209,0.1073,0.1695,0.2778,0.2244,360.2458,0.0933,0.0799,0.1914,0.2138,0.2199,0.6224
47.5679,0.0128,0.0142,0.0979,0.0699,0.0724,0.2056,0.0462,0.1055,0.1173,0.0429,0.2383,0.3002,3.9506,0.1991,0.033,0.1106,0.171,0.2471,0.2256,287.3296,0.0947,0.0663,0.1776,0.2185,0.23,0.6432
47.6678,0.0127,0.015,0.0985,0.0551,0.0537,0.1768,0.0524,0.1291,0.116,0.0553,0.2257,0.4374,3.1395,0.2035,0.0441,0.11,0.1763,0.1978,0.2477,178.0053,0.0979,0.0508,0.1785,0.215,0.2281,0.606
47.7677,0.0151,0.0155,0.1012,0.038,0.0386,0.1433,0.0598,0.1511,0.1107,0.0638,0.2056,0.5708,2.3161,0.0495,0.0524,0.1061,0.1824,0.1534,0.274,45.5008,0.1023,0.0338,0.1929,0.2043,0.2153,0.5145
47.8677,0.0183,0.0157,0.105,0.0296,0.0378,0.1141,0.0668,0.1699,0.1033,0.0666,0.1766,0.6891,2.9069,0.4009,0.0568,0.0999,0.1861,0.1509,0.2895,95.8151,0.107,0.0159,0.2109,0.1916,0.1958,0.3794
47.9676,0.0209,0.0154,0.1084,0.0404,0.0521,0.1046,0.0725,0.1846,0.0974,0.0629,0.138,0.7823,3.2807,0.5004,0.0571,0.0927,0.1858,0.1925,0.2869,226.4196,0.1113,0.0055,0.2231,0.184,0.1773,0.2226
48.0675,0.0221,0.0148,0.1097,0.0594,0.0707,0.1226,0.0763,0.1944,0.0968,0.0533,0.0902,0.8431,2.3435,0.3538,0.0532,0.0863,0.1815,0.2412,0.2665,331.1129,0.1144,0.0234,0.2241,0.1869,0.1689,0.1336
48.1675,0.0218,0.0139,0.108,0.077,0.0876,0.1562,0.0782,0.1994,0.1024,0.0397,0.0371,0.8679,0.9751,0.4376,0.0456,0.0826,0.1754,0.2722,0.2354,396.4314,0.116,0.0424,0.2137,0.1989,0.1755,0.2522
48.2674,0.02,0.0129,0.1033,0.0901,0.1003,0.1917,0.0787,0.1998,0.1116,0.0265,0.0372,0.8574,1.5207,0.5949,0.0357,0.0825,0.1705,0.2751,0.2075,413.6837,0.1157,0.0609,0.1965,0.2131,0.1931,0.4183
48.3673,0.0171,0.012,0.0972,0.0973,0.1076,0.2213,0.0784,0.1965,0.12,0.0246,0.0963,0.816,1.3049,0.558,0.0256,0.0858,0.1695,0.2488,0.1983,380.066,0.1135,0.0783,0.1813,0.2222,0.2128,0.5638
48.4673,0.0141,0.0115,0.092,0.0985,0.109,0.2411,0.0781,0.1905,0.1241,0.0367,0.1547,0.7506,1.0915,0.3471,0.0204,0.091,0.1729,0.2011,0.2115,299.143,0.1094,0.0942,0.1775,0.2223,0.2268,0.6692
48.5672,0.0125,0.0114,0.0902,0.094,0.1048,0.249,0.0781,0.1828,0.1222,0.0515,0.2053,0.6695,1.6651,1.0547,0.0245,0.0964,0.1786,0.1529,0.2342,180.7417,0.1037,0.1081,0.1875,0.2135,0.2306,0.7247
48.6671,0.0136,0.0114,0.0927,0.085,0.0956,0.2445,0.0784,0.1745,0.1144,0.0636,0.2441,0.5803,1.3059,0.8371,0.0333,0.1006,0.1834,0.1434,0.251,44.847,0.0967,0.1197,0.2043,0.1999,0.2226,0.7264
48.7671,0.0164,0.0113,0.0979,0.0731,0.0827,0.2281,0.0783,0.166,0.103,0.0709,0.2687,0.4885,0.2956,0.4863,0.0418,0.1027,0.1844,0.1846,0.2527,116.5248,0.0888,0.1286,0.2182,0.189,0.2038,0.6761
48.867,0.0194,0.011,0.103,0.0616,0.0677,0.2014,0.0768,0.1574,0.0927,0.0726,0.2788,0.3971,1.5479,0.1496,0.0477,0.1023,0.1807,0.2386,0.2377,251.8155,0.0809,0.1349,0.2226,0.1877,0.1775,0.5807
48.9669,0.0213,0.0102,0.1058,0.0562,0.0534,0.1665,0.0731,0.1483,0.089,0.0689,0.2759,0.3078,2.3121,0.7843,0.0504,0.0996,0.1733,0.2775,0.2109,359.2074,0.0736,0.1382,0.2154,0.1973,0.149,0.4523
49.0669,0.0218,0.0091,0.1052,0.0615,0.0438,0.126,0.0667,0.1378,0.0945,0.0602,0.2631,0.2244,2.4348,1.0004,0.0498,0.0947,0.1652,0.2889,0.1837,424.1956,0.0679,0.1386,0.1995,0.2122,0.1252,0.3112
49.1668,0.0206,0.0079,0.1016,0.0754,0.0428,0.0828,0.0576,0.125,0.1057,0.0481,0.2451,0.158,2.3506,1.0826,0.0464,0.0883,0.1601,0.27,0.1716,438.3896,0.0649,0.1359,0.1821,0.2245,0.1127,0.2017
49.2667,0.018,0.0072,0.0962,0.0916,0.0494,0.04,0.0464,0.1094,0.1169,0.0355,0.2262,0.1337,1.6463,0.3767,0.0414,0.0811,0.1606,0.2257,0.1817,399.8639,0.0651,0.1304,0.1729,0.2286,0.1119,0.2137
49.3667,0.0148,0.0075,0.0914,0.1051,0.0588,0.0045,0.0346,0.0909,0.1237,0.0286,0.2101,0.1585,2.9104,0.2094,0.0363,0.0738,0.1662,0.1712,0.2044,313.3903,0.0684,0.122,0.1777,0.2222,0.1163,0.3212
49.4666,0.0125,0.009,0.0891,0.1124,0.0672,0.0347,0.0256,0.0705,0.1238,0.0339,0.1984,0.1979,2.7881,0.1488,0.0327,0.0671,0.1737,0.1389,0.2244,190.1688,0.0738,0.1113,0.1929,0.2072,0.118,0.4374
49.5665,0.0127,0.0109,0.0902,0.1117,0.0727,0.0612,0.0251,0.0513,0.1174,0.0466,0.1911,0.2251,2.0601,0.1635,0.0318,0.0616,0.1791,0.1602,0.2323,52.7693,0.0801,0.0987,0.2091,0.1888,0.1123,0.5318
49.6665,0.0153,0.0127,0.0939,0.1021,0.0746,0.0784,0.0329,0.0414,0.1067,0.0596,0.1876,0.2284,2.0704,0.8392,0.033,0.0578,0.1799,0.2104,0.2254,115.4472,0.0864,0.085,0.2184,0.1749,0.0972,0.5942
49.7664,0.0187,0.0141,0.0986,0.0848,0.0732,0.0856,0.0431,0.0495,0.0963,0.0695,0.1884,0.2038,3.0723,0.8956,0.0348,0.0558,0.1755,0.2537,0.2071,249.1863,0.0919,0.0711,0.2171,0.1723,0.0734,0.6215
49.8663,0.0214,0.0148,0.1031,0.0628,0.0693,0.0825,0.0522,0.0689,0.0917,0.0747,0.1943,0.1532,3.4092,0.4872,0.0362,0.0554,0.1677,0.2735,0.1861,353.9932,0.0962,0.0583,0.2061,0.1812,0.0429,0.6143
